2017 Yamaha Jr. Sportsman Race #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Kyle Ford,3,35,1,50,0,0,2,42,5,30,1,50,1,50,6,28,1,50,0,0,0,0,0,0,0,0,0,0,335
Nathan Nicholson,0,0,3,35,0,0,1,50,6,28,5,30,5,30,8,24,2,42,0,0,0,0,0,0,0,0,0,0,239
Cade Pretorius,5,30,4,32,0,0,4,32,10,20,6,28,3,35,13,17,14,16,0,0,0,0,0,0,0,0,0,0,210
Elysiah Navarro,4,32,8,24,0,0,3,35,11,19,4,32,9,22,12,18,6,28,0,0,0,0,0,0,0,0,0,0,210
Adam Maxwell,1,50,17,13,0,0,17,13,8,24,7,26,4,32,9,22,0,0,0,0,0,0,0,0,0,0,0,0,180
Addison Ianiello,9,22,7,26,0,0,5,30,8,24,9,22,6,28,20,10,4,32,0,0,0,0,0,0,0,0,0,0,194
Elliot Cox,0,0,15,15,0,0,0,0,3,35,3,35,2,42,7,26,0,0,0,0,0,0,0,0,0,0,0,0,153
Aryton Grim,19,11,6,28,0,0,16,14,9,22,8,24,8,24,5,30,3,35,0,0,0,0,0,0,0,0,0,0,188
Vincent Carfiro,12,18,0,0,0,0,8,24,0,0,12,18,12,18,19,11,0,0,0,0,0,0,0,0,0,0,0,0,89
Mason Piper,0,0,13,17,0,0,12,18,13,17,0,0,10,20,15,15,0,0,0,0,0,0,0,0,0,0,0,0,87
Ayrton Houk,0,0,11,19,0,0,15,15,17,13,11,19,11,19,0,0,9,22,0,0,0,0,0,0,0,0,0,0,107
Aidan Hinds,2,42,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Lukas Kumpys,0,0,DQ,DQ,0,0,18,12,16,14,13,17,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
Marcelo Sanchez-Lara,0,0,18,12,0,0,7,26,0,0,0,0,0,0,14,16,7,26,0,0,0,0,0,0,0,0,0,0,80
Marek Laney,15,15,12,18,0,0,0,0,0,0,14,16,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,69
Ava Dutton,10,20,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Kasey I. Davis,0,0,0,0,0,0,0,0,18,12,0,0,13,17,0,0,11,19,0,0,0,0,0,0,0,0,0,0,48
Austin Olds,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
